bb category,product title,product description,brand,quantity or pack size,mrp,price,site name,offers,combo offers,stock availibility,image url,url,timestamp
Groceries,Amazon Product 56,This is a synthetic description for Amazon Product 56.,Amazon Basics,3 pack,212,211.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-02-03
Groceries,Amazon Product 1,This is a synthetic description for Amazon Product 1.,Echo,2 pack,1253,1201.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-05
Books,Kindle E-Reader 56,This is a synthetic description for Kindle E-Reader 56.,Echo,1 pack,866,829.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-13
Kitchen,Happy Belly Snack 11,This is a synthetic description for Happy Belly Snack 11.,Amazon Basics,1 pack,1247,1189.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-23
Beauty,Fire Stick 59,This is a synthetic description for Fire Stick 59.,Fire TV,3 pack,1469,1374.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-02-18
Electronics,Solimo Essential 1,This is a synthetic description for Solimo Essential 1.,Echo,4 pack,572,523.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-21
Household,Kindle E-Reader 7,This is a synthetic description for Kindle E-Reader 7.,Fire TV,4 pack,445,444.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-08-13
Books,Echo Dot 37,This is a synthetic description for Echo Dot 37.,Echo,3 pack,108,100.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-11-17
Beauty,Fire Stick 24,This is a synthetic description for Fire Stick 24.,Happy Belly,4 pack,1796,1645.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-28
Books,Happy Belly Snack 84,This is a synthetic description for Happy Belly Snack 84.,Happy Belly,3 pack,1235,1147.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-28
Household,Happy Belly Snack 82,This is a synthetic description for Happy Belly Snack 82.,Solimo,2 pack,1286,1207.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-06
Electronics,Fire Stick 33,This is a synthetic description for Fire Stick 33.,Happy Belly,1 pack,915,896.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-01
Electronics,Fire Stick 59,This is a synthetic description for Fire Stick 59.,Echo,2 pack,1498,1477.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-12-09
Kitchen,Echo Dot 51,This is a synthetic description for Echo Dot 51.,Happy Belly,4 pack,1406,1380.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-01-18
Electronics,Fire Stick 64,This is a synthetic description for Fire Stick 64.,Amazon Basics,1 pack,1119,1059.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-11-07
Electronics,Amazon Product 44,This is a synthetic description for Amazon Product 44.,Fire TV,2 pack,576,531.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-03-26
Books,Amazon Product 37,This is a synthetic description for Amazon Product 37.,Kindle,1 pack,401,371.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-12-10
Books,Echo Dot 85,This is a synthetic description for Echo Dot 85.,Amazon Basics,4 pack,1446,1319.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-09-27
Kitchen,Solimo Essential 67,This is a synthetic description for Solimo Essential 67.,Happy Belly,4 pack,725,694.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-03-05
Household,Kindle E-Reader 2,This is a synthetic description for Kindle E-Reader 2.,Solimo,1 pack,1227,1195.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-06-01
Groceries,Solimo Essential 26,This is a synthetic description for Solimo Essential 26.,Echo,2 pack,1020,997.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-03-02
Electronics,Fire Stick 45,This is a synthetic description for Fire Stick 45.,Fire TV,1 pack,1899,1756.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-03-22
Books,Solimo Essential 66,This is a synthetic description for Solimo Essential 66.,Happy Belly,3 pack,1788,1726.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-16
Household,Solimo Essential 86,This is a synthetic description for Solimo Essential 86.,Amazon Basics,4 pack,781,712.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-03
Books,Echo Dot 97,This is a synthetic description for Echo Dot 97.,Kindle,4 pack,1103,996.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-03-21
Kitchen,Echo Dot 96,This is a synthetic description for Echo Dot 96.,Fire TV,2 pack,146,144.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-27
Groceries,Solimo Essential 30,This is a synthetic description for Solimo Essential 30.,Echo,1 pack,219,201.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-08-18
Groceries,Solimo Essential 62,This is a synthetic description for Solimo Essential 62.,Amazon Basics,4 pack,1112,1112.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-04
Household,Happy Belly Snack 48,This is a synthetic description for Happy Belly Snack 48.,Amazon Basics,4 pack,1360,1244.0,amazon_com,Limited time deal,,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-27
Groceries,Happy Belly Snack 93,This is a synthetic description for Happy Belly Snack 93.,Echo,4 pack,253,238.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-10-08
Electronics,Echo Dot 78,This is a synthetic description for Echo Dot 78.,Fire TV,1 pack,1170,1058.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-01-14
Books,Echo Dot 76,This is a synthetic description for Echo Dot 76.,Solimo,2 pack,531,511.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-05-12
Kitchen,Happy Belly Snack 23,This is a synthetic description for Happy Belly Snack 23.,Solimo,2 pack,1881,1813.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-08-23
Household,Solimo Essential 19,This is a synthetic description for Solimo Essential 19.,Solimo,4 pack,868,800.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-05-02
Household,Amazon Product 92,This is a synthetic description for Amazon Product 92.,Echo,4 pack,1787,1648.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-07-05
Electronics,Amazon Product 61,This is a synthetic description for Amazon Product 61.,Echo,3 pack,1736,1725.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-01-28
Household,Kindle E-Reader 44,This is a synthetic description for Kindle E-Reader 44.,Kindle,1 pack,111,110.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-11-27
Beauty,Amazon Product 90,This is a synthetic description for Amazon Product 90.,Kindle,2 pack,1069,980.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-07-13
Electronics,Fire Stick 58,This is a synthetic description for Fire Stick 58.,Kindle,2 pack,1616,1542.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-11-02
Electronics,Echo Dot 36,This is a synthetic description for Echo Dot 36.,Solimo,1 pack,556,533.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-01
Books,Solimo Essential 96,This is a synthetic description for Solimo Essential 96.,Happy Belly,4 pack,136,125.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-02-10
Electronics,Kindle E-Reader 30,This is a synthetic description for Kindle E-Reader 30.,Amazon Basics,1 pack,161,158.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-13
Beauty,Kindle E-Reader 49,This is a synthetic description for Kindle E-Reader 49.,Fire TV,4 pack,544,504.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-28
Books,Happy Belly Snack 95,This is a synthetic description for Happy Belly Snack 95.,Fire TV,3 pack,1629,1519.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-11-22
Books,Amazon Product 52,This is a synthetic description for Amazon Product 52.,Echo,1 pack,1607,1555.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-06-08
Groceries,Echo Dot 42,This is a synthetic description for Echo Dot 42.,Solimo,3 pack,497,467.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-24
Groceries,Kindle E-Reader 75,This is a synthetic description for Kindle E-Reader 75.,Solimo,3 pack,687,679.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-12-25
Electronics,Echo Dot 7,This is a synthetic description for Echo Dot 7.,Happy Belly,1 pack,1291,1265.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-08-27
Groceries,Echo Dot 38,This is a synthetic description for Echo Dot 38.,Echo,4 pack,1619,1511.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-07-21
Electronics,Amazon Product 45,This is a synthetic description for Amazon Product 45.,Fire TV,4 pack,1193,1163.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-09
Kitchen,Kindle E-Reader 74,This is a synthetic description for Kindle E-Reader 74.,Solimo,3 pack,138,136.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-08
Books,Happy Belly Snack 58,This is a synthetic description for Happy Belly Snack 58.,Fire TV,4 pack,555,515.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-01-27
Groceries,Fire Stick 62,This is a synthetic description for Fire Stick 62.,Amazon Basics,3 pack,1631,1519.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-08-06
Kitchen,Echo Dot 6,This is a synthetic description for Echo Dot 6.,Solimo,4 pack,784,753.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-08-26
Groceries,Happy Belly Snack 85,This is a synthetic description for Happy Belly Snack 85.,Echo,4 pack,1352,1333.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-02
Electronics,Amazon Product 14,This is a synthetic description for Amazon Product 14.,Amazon Basics,1 pack,1689,1572.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-12-22
Electronics,Kindle E-Reader 12,This is a synthetic description for Kindle E-Reader 12.,Solimo,4 pack,883,812.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-09-12
Books,Echo Dot 8,This is a synthetic description for Echo Dot 8.,Solimo,4 pack,775,768.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-01-25
Books,Fire Stick 41,This is a synthetic description for Fire Stick 41.,Fire TV,4 pack,601,585.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-21
Books,Echo Dot 92,This is a synthetic description for Echo Dot 92.,Kindle,1 pack,1681,1647.0,amazon_com,Limited time deal,,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-11
Beauty,Echo Dot 47,This is a synthetic description for Echo Dot 47.,Amazon Basics,2 pack,109,102.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-07-12
Groceries,Echo Dot 33,This is a synthetic description for Echo Dot 33.,Happy Belly,1 pack,245,231.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-05-12
Household,Amazon Product 86,This is a synthetic description for Amazon Product 86.,Echo,3 pack,788,712.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-04-25
Beauty,Amazon Product 21,This is a synthetic description for Amazon Product 21.,Happy Belly,4 pack,808,804.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-01-25
Groceries,Echo Dot 37,This is a synthetic description for Echo Dot 37.,Solimo,2 pack,182,166.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-06
Kitchen,Amazon Product 51,This is a synthetic description for Amazon Product 51.,Kindle,1 pack,1895,1783.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-08-18
Household,Solimo Essential 34,This is a synthetic description for Solimo Essential 34.,Happy Belly,2 pack,870,821.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-07-03
Groceries,Happy Belly Snack 94,This is a synthetic description for Happy Belly Snack 94.,Echo,1 pack,500,453.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-08-14
Groceries,Echo Dot 14,This is a synthetic description for Echo Dot 14.,Solimo,3 pack,534,496.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-08-09
Household,Happy Belly Snack 50,This is a synthetic description for Happy Belly Snack 50.,Solimo,2 pack,897,819.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-25
Household,Fire Stick 38,This is a synthetic description for Fire Stick 38.,Amazon Basics,4 pack,1458,1429.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-07-02
Electronics,Echo Dot 29,This is a synthetic description for Echo Dot 29.,Fire TV,2 pack,283,267.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-25
Books,Echo Dot 34,This is a synthetic description for Echo Dot 34.,Happy Belly,1 pack,1573,1448.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-07-28
Beauty,Kindle E-Reader 23,This is a synthetic description for Kindle E-Reader 23.,Echo,2 pack,1643,1512.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-01-12
Beauty,Kindle E-Reader 93,This is a synthetic description for Kindle E-Reader 93.,Solimo,1 pack,733,683.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-10-22
Household,Fire Stick 42,This is a synthetic description for Fire Stick 42.,Kindle,2 pack,1528,1459.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-11-16
Books,Solimo Essential 46,This is a synthetic description for Solimo Essential 46.,Solimo,1 pack,1201,1112.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-20
Household,Amazon Product 47,This is a synthetic description for Amazon Product 47.,Amazon Basics,2 pack,338,309.0,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-10-10
Groceries,Amazon Product 26,This is a synthetic description for Amazon Product 26.,Fire TV,1 pack,107,107.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-10
Kitchen,Happy Belly Snack 90,This is a synthetic description for Happy Belly Snack 90.,Fire TV,3 pack,177,176.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-18
Beauty,Kindle E-Reader 7,This is a synthetic description for Kindle E-Reader 7.,Echo,3 pack,1018,1001.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-20
Beauty,Amazon Product 28,This is a synthetic description for Amazon Product 28.,Solimo,3 pack,1396,1311.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-10-08
Electronics,Amazon Product 13,This is a synthetic description for Amazon Product 13.,Fire TV,1 pack,1703,1566.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-04-26
Household,Fire Stick 86,This is a synthetic description for Fire Stick 86.,Solimo,3 pack,1899,1732.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-22
Household,Amazon Product 6,This is a synthetic description for Amazon Product 6.,Fire TV,2 pack,1443,1385.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-28
Electronics,Amazon Product 53,This is a synthetic description for Amazon Product 53.,Happy Belly,1 pack,1833,1764.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-11-14
Kitchen,Kindle E-Reader 62,This is a synthetic description for Kindle E-Reader 62.,Happy Belly,2 pack,1730,1579.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-10-18
Beauty,Kindle E-Reader 31,This is a synthetic description for Kindle E-Reader 31.,Kindle,4 pack,1019,925.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-05
Books,Kindle E-Reader 4,This is a synthetic description for Kindle E-Reader 4.,Happy Belly,2 pack,980,887.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-23
Electronics,Solimo Essential 79,This is a synthetic description for Solimo Essential 79.,Echo,4 pack,1149,1099.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-28
Kitchen,Solimo Essential 68,This is a synthetic description for Solimo Essential 68.,Echo,4 pack,324,305.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-09-09
Electronics,Solimo Essential 14,This is a synthetic description for Solimo Essential 14.,Happy Belly,1 pack,238,235.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-05-13
Electronics,Happy Belly Snack 50,This is a synthetic description for Happy Belly Snack 50.,Solimo,1 pack,1773,1602.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-26
Household,Fire Stick 65,This is a synthetic description for Fire Stick 65.,Kindle,1 pack,884,876.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-07-03
Kitchen,Kindle E-Reader 94,This is a synthetic description for Kindle E-Reader 94.,Amazon Basics,1 pack,417,404.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-10-05
Electronics,Solimo Essential 76,This is a synthetic description for Solimo Essential 76.,Echo,3 pack,612,573.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-19
Groceries,Kindle E-Reader 14,This is a synthetic description for Kindle E-Reader 14.,Fire TV,2 pack,1414,1410.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-05-13
Household,Happy Belly Snack 4,This is a synthetic description for Happy Belly Snack 4.,Amazon Basics,1 pack,1165,1077.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-06
Kitchen,Kindle E-Reader 38,This is a synthetic description for Kindle E-Reader 38.,Amazon Basics,3 pack,674,660.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-06-09
Electronics,Solimo Essential 78,This is a synthetic description for Solimo Essential 78.,Kindle,4 pack,203,185.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-10-14
Kitchen,Kindle E-Reader 7,This is a synthetic description for Kindle E-Reader 7.,Echo,4 pack,653,590.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-08
Electronics,Fire Stick 94,This is a synthetic description for Fire Stick 94.,Echo,4 pack,256,251.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-04-02
Groceries,Kindle E-Reader 55,This is a synthetic description for Kindle E-Reader 55.,Amazon Basics,2 pack,295,274.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-04-19
Beauty,Solimo Essential 97,This is a synthetic description for Solimo Essential 97.,Happy Belly,2 pack,1282,1236.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-11-28
