Uniq Id,Crawl Timestamp,Bb Category,Product Title,Product Description,Brand,Quantity Or Pack Size,Mrp,Price,Site Name,Offers,Combo Offers,Stock Availibility,Image Url,Url
amzn_00010,2024-01-01 00:10:00,Household,Echo Dot 24,This is a synthetic description for Echo Dot 24.,Solimo,1 pack,863,804,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00011,2024-01-01 00:11:00,Groceries,Amazon Product 89,This is a synthetic description for Amazon Product 89.,Amazon Basics,4 pack,1252,1145,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00012,2024-01-01 00:12:00,Electronics,Kindle E-Reader 35,This is a synthetic description for Kindle E-Reader 35.,Amazon Basics,3 pack,1896,1856,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00013,2024-01-01 00:13:00,Books,Solimo Essential 33,This is a synthetic description for Solimo Essential 33.,Happy Belly,4 pack,904,861,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00014,2024-01-01 00:14:00,Electronics,Kindle E-Reader 47,This is a synthetic description for Kindle E-Reader 47.,Happy Belly,3 pack,1892,1888,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00015,2024-01-01 00:15:00,Kitchen,Kindle E-Reader 9,This is a synthetic description for Kindle E-Reader 9.,Solimo,2 pack,991,915,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00016,2024-01-01 00:16:00,Electronics,Fire Stick 96,This is a synthetic description for Fire Stick 96.,Fire TV,2 pack,584,562,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00017,2024-01-01 00:17:00,Beauty,Echo Dot 36,This is a synthetic description for Echo Dot 36.,Kindle,4 pack,1962,1776,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00018,2024-01-01 00:18:00,Household,Solimo Essential 45,This is a synthetic description for Solimo Essential 45.,Happy Belly,1 pack,1112,1107,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00019,2024-01-01 00:19:00,Household,Fire Stick 89,This is a synthetic description for Fire Stick 89.,Happy Belly,1 pack,1508,1388,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00020,2024-01-01 00:20:00,Books,Echo Dot 3,This is a synthetic description for Echo Dot 3.,Happy Belly,4 pack,1534,1398,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00021,2024-01-01 00:21:00,Beauty,Solimo Essential 44,This is a synthetic description for Solimo Essential 44.,Echo,2 pack,1795,1700,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00022,2024-01-01 00:22:00,Kitchen,Amazon Product 58,This is a synthetic description for Amazon Product 58.,Fire TV,4 pack,1633,1595,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00023,2024-01-01 00:23:00,Groceries,Amazon Product 56,This is a synthetic description for Amazon Product 56.,Amazon Basics,3 pack,212,211,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00024,2024-01-01 00:24:00,Groceries,Amazon Product 1,This is a synthetic description for Amazon Product 1.,Echo,2 pack,1253,1201,amazon_com,Limited time deal,Buy 2 Get 1 Free,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00025,2024-01-01 00:25:00,Books,Kindle E-Reader 56,This is a synthetic description for Kindle E-Reader 56.,Echo,1 pack,866,829,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00026,2024-01-01 00:26:00,Kitchen,Happy Belly Snack 11,This is a synthetic description for Happy Belly Snack 11.,Amazon Basics,1 pack,1247,1189,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00027,2024-01-01 00:27:00,Beauty,Fire Stick 59,This is a synthetic description for Fire Stick 59.,Fire TV,3 pack,1469,1374,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00028,2024-01-01 00:28:00,Electronics,Solimo Essential 1,This is a synthetic description for Solimo Essential 1.,Echo,4 pack,572,523,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00029,2024-01-01 00:29:00,Household,Kindle E-Reader 7,This is a synthetic description for Kindle E-Reader 7.,Fire TV,4 pack,445,444,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00030,2024-01-01 00:30:00,Books,Echo Dot 37,This is a synthetic description for Echo Dot 37.,Echo,3 pack,108,100,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00031,2024-01-01 00:31:00,Beauty,Fire Stick 24,This is a synthetic description for Fire Stick 24.,Happy Belly,4 pack,1796,1645,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00032,2024-01-01 00:32:00,Books,Happy Belly Snack 84,This is a synthetic description for Happy Belly Snack 84.,Happy Belly,3 pack,1235,1147,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00033,2024-01-01 00:33:00,Household,Happy Belly Snack 82,This is a synthetic description for Happy Belly Snack 82.,Solimo,2 pack,1286,1207,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00034,2024-01-01 00:34:00,Electronics,Fire Stick 33,This is a synthetic description for Fire Stick 33.,Happy Belly,1 pack,915,896,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00035,2024-01-01 00:35:00,Electronics,Fire Stick 59,This is a synthetic description for Fire Stick 59.,Echo,2 pack,1498,1477,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00036,2024-01-01 00:36:00,Kitchen,Echo Dot 51,This is a synthetic description for Echo Dot 51.,Happy Belly,4 pack,1406,1380,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00037,2024-01-01 00:37:00,Electronics,Fire Stick 64,This is a synthetic description for Fire Stick 64.,Amazon Basics,1 pack,1119,1059,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00038,2024-01-01 00:38:00,Electronics,Amazon Product 44,This is a synthetic description for Amazon Product 44.,Fire TV,2 pack,576,531,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00039,2024-01-01 00:39:00,Books,Amazon Product 37,This is a synthetic description for Amazon Product 37.,Kindle,1 pack,401,371,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00040,2024-01-01 00:40:00,Books,Echo Dot 85,This is a synthetic description for Echo Dot 85.,Amazon Basics,4 pack,1446,1319,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00041,2024-01-01 00:41:00,Kitchen,Solimo Essential 67,This is a synthetic description for Solimo Essential 67.,Happy Belly,4 pack,725,694,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00042,2024-01-01 00:42:00,Household,Kindle E-Reader 2,This is a synthetic description for Kindle E-Reader 2.,Solimo,1 pack,1227,1195,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00043,2024-01-01 00:43:00,Groceries,Solimo Essential 26,This is a synthetic description for Solimo Essential 26.,Echo,2 pack,1020,997,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00044,2024-01-01 00:44:00,Electronics,Fire Stick 45,This is a synthetic description for Fire Stick 45.,Fire TV,1 pack,1899,1756,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00045,2024-01-01 00:45:00,Books,Solimo Essential 66,This is a synthetic description for Solimo Essential 66.,Happy Belly,3 pack,1788,1726,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00046,2024-01-01 00:46:00,Household,Solimo Essential 86,This is a synthetic description for Solimo Essential 86.,Amazon Basics,4 pack,781,712,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00047,2024-01-01 00:47:00,Books,Echo Dot 97,This is a synthetic description for Echo Dot 97.,Kindle,4 pack,1103,996,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00048,2024-01-01 00:48:00,Kitchen,Echo Dot 96,This is a synthetic description for Echo Dot 96.,Fire TV,2 pack,146,144,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00049,2024-01-01 00:49:00,Groceries,Solimo Essential 30,This is a synthetic description for Solimo Essential 30.,Echo,1 pack,219,201,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00050,2024-01-01 00:50:00,Groceries,Solimo Essential 62,This is a synthetic description for Solimo Essential 62.,Amazon Basics,4 pack,1112,1112,amazon_com,Limited time deal,Buy 2 Get 1 Free,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00051,2024-01-01 00:51:00,Household,Happy Belly Snack 48,This is a synthetic description for Happy Belly Snack 48.,Amazon Basics,4 pack,1360,1244,amazon_com,Limited time deal,nan,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00052,2024-01-01 00:52:00,Groceries,Happy Belly Snack 93,This is a synthetic description for Happy Belly Snack 93.,Echo,4 pack,253,238,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00053,2024-01-01 00:53:00,Electronics,Echo Dot 78,This is a synthetic description for Echo Dot 78.,Fire TV,1 pack,1170,1058,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00054,2024-01-01 00:54:00,Books,Echo Dot 76,This is a synthetic description for Echo Dot 76.,Solimo,2 pack,531,511,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00055,2024-01-01 00:55:00,Kitchen,Happy Belly Snack 23,This is a synthetic description for Happy Belly Snack 23.,Solimo,2 pack,1881,1813,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00056,2024-01-01 00:56:00,Household,Solimo Essential 19,This is a synthetic description for Solimo Essential 19.,Solimo,4 pack,868,800,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00057,2024-01-01 00:57:00,Household,Amazon Product 92,This is a synthetic description for Amazon Product 92.,Echo,4 pack,1787,1648,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00058,2024-01-01 00:58:00,Electronics,Amazon Product 61,This is a synthetic description for Amazon Product 61.,Echo,3 pack,1736,1725,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00059,2024-01-01 00:59:00,Household,Kindle E-Reader 44,This is a synthetic description for Kindle E-Reader 44.,Kindle,1 pack,111,110,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00060,2024-01-01 01:00:00,Beauty,Amazon Product 90,This is a synthetic description for Amazon Product 90.,Kindle,2 pack,1069,980,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00061,2024-01-01 01:01:00,Electronics,Fire Stick 58,This is a synthetic description for Fire Stick 58.,Kindle,2 pack,1616,1542,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00062,2024-01-01 01:02:00,Electronics,Echo Dot 36,This is a synthetic description for Echo Dot 36.,Solimo,1 pack,556,533,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00063,2024-01-01 01:03:00,Books,Solimo Essential 96,This is a synthetic description for Solimo Essential 96.,Happy Belly,4 pack,136,125,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00064,2024-01-01 01:04:00,Electronics,Kindle E-Reader 30,This is a synthetic description for Kindle E-Reader 30.,Amazon Basics,1 pack,161,158,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00065,2024-01-01 01:05:00,Beauty,Kindle E-Reader 49,This is a synthetic description for Kindle E-Reader 49.,Fire TV,4 pack,544,504,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00066,2024-01-01 01:06:00,Books,Happy Belly Snack 95,This is a synthetic description for Happy Belly Snack 95.,Fire TV,3 pack,1629,1519,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00067,2024-01-01 01:07:00,Books,Amazon Product 52,This is a synthetic description for Amazon Product 52.,Echo,1 pack,1607,1555,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00068,2024-01-01 01:08:00,Groceries,Echo Dot 42,This is a synthetic description for Echo Dot 42.,Solimo,3 pack,497,467,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00069,2024-01-01 01:09:00,Groceries,Kindle E-Reader 75,This is a synthetic description for Kindle E-Reader 75.,Solimo,3 pack,687,679,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00070,2024-01-01 01:10:00,Electronics,Echo Dot 7,This is a synthetic description for Echo Dot 7.,Happy Belly,1 pack,1291,1265,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00071,2024-01-01 01:11:00,Groceries,Echo Dot 38,This is a synthetic description for Echo Dot 38.,Echo,4 pack,1619,1511,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00072,2024-01-01 01:12:00,Electronics,Amazon Product 45,This is a synthetic description for Amazon Product 45.,Fire TV,4 pack,1193,1163,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00073,2024-01-01 01:13:00,Kitchen,Kindle E-Reader 74,This is a synthetic description for Kindle E-Reader 74.,Solimo,3 pack,138,136,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00074,2024-01-01 01:14:00,Books,Happy Belly Snack 58,This is a synthetic description for Happy Belly Snack 58.,Fire TV,4 pack,555,515,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00075,2024-01-01 01:15:00,Groceries,Fire Stick 62,This is a synthetic description for Fire Stick 62.,Amazon Basics,3 pack,1631,1519,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00076,2024-01-01 01:16:00,Kitchen,Echo Dot 6,This is a synthetic description for Echo Dot 6.,Solimo,4 pack,784,753,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00077,2024-01-01 01:17:00,Groceries,Happy Belly Snack 85,This is a synthetic description for Happy Belly Snack 85.,Echo,4 pack,1352,1333,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00078,2024-01-01 01:18:00,Electronics,Amazon Product 14,This is a synthetic description for Amazon Product 14.,Amazon Basics,1 pack,1689,1572,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00079,2024-01-01 01:19:00,Electronics,Kindle E-Reader 12,This is a synthetic description for Kindle E-Reader 12.,Solimo,4 pack,883,812,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00080,2024-01-01 01:20:00,Books,Echo Dot 8,This is a synthetic description for Echo Dot 8.,Solimo,4 pack,775,768,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00081,2024-01-01 01:21:00,Books,Fire Stick 41,This is a synthetic description for Fire Stick 41.,Fire TV,4 pack,601,585,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00082,2024-01-01 01:22:00,Books,Echo Dot 92,This is a synthetic description for Echo Dot 92.,Kindle,1 pack,1681,1647,amazon_com,Limited time deal,nan,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00083,2024-01-01 01:23:00,Beauty,Echo Dot 47,This is a synthetic description for Echo Dot 47.,Amazon Basics,2 pack,109,102,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00084,2024-01-01 01:24:00,Groceries,Echo Dot 33,This is a synthetic description for Echo Dot 33.,Happy Belly,1 pack,245,231,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00085,2024-01-01 01:25:00,Household,Amazon Product 86,This is a synthetic description for Amazon Product 86.,Echo,3 pack,788,712,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00086,2024-01-01 01:26:00,Beauty,Amazon Product 21,This is a synthetic description for Amazon Product 21.,Happy Belly,4 pack,808,804,amazon_com,Limited time deal,Buy 2 Get 1 Free,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00087,2024-01-01 01:27:00,Groceries,Echo Dot 37,This is a synthetic description for Echo Dot 37.,Solimo,2 pack,182,166,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00088,2024-01-01 01:28:00,Kitchen,Amazon Product 51,This is a synthetic description for Amazon Product 51.,Kindle,1 pack,1895,1783,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00089,2024-01-01 01:29:00,Household,Solimo Essential 34,This is a synthetic description for Solimo Essential 34.,Happy Belly,2 pack,870,821,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00090,2024-01-01 01:30:00,Groceries,Happy Belly Snack 94,This is a synthetic description for Happy Belly Snack 94.,Echo,1 pack,500,453,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00091,2024-01-01 01:31:00,Groceries,Echo Dot 14,This is a synthetic description for Echo Dot 14.,Solimo,3 pack,534,496,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00092,2024-01-01 01:32:00,Household,Happy Belly Snack 50,This is a synthetic description for Happy Belly Snack 50.,Solimo,2 pack,897,819,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00093,2024-01-01 01:33:00,Household,Fire Stick 38,This is a synthetic description for Fire Stick 38.,Amazon Basics,4 pack,1458,1429,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00094,2024-01-01 01:34:00,Electronics,Echo Dot 29,This is a synthetic description for Echo Dot 29.,Fire TV,2 pack,283,267,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00095,2024-01-01 01:35:00,Books,Echo Dot 34,This is a synthetic description for Echo Dot 34.,Happy Belly,1 pack,1573,1448,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00096,2024-01-01 01:36:00,Beauty,Kindle E-Reader 23,This is a synthetic description for Kindle E-Reader 23.,Echo,2 pack,1643,1512,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00097,2024-01-01 01:37:00,Beauty,Kindle E-Reader 93,This is a synthetic description for Kindle E-Reader 93.,Solimo,1 pack,733,683,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00098,2024-01-01 01:38:00,Household,Fire Stick 42,This is a synthetic description for Fire Stick 42.,Kindle,2 pack,1528,1459,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00099,2024-01-01 01:39:00,Books,Solimo Essential 46,This is a synthetic description for Solimo Essential 46.,Solimo,1 pack,1201,1112,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00100,2024-01-01 01:40:00,Household,Amazon Product 47,This is a synthetic description for Amazon Product 47.,Amazon Basics,2 pack,338,309,amazon_com,Limited time deal,10% Off with Coupon,False,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00101,2024-01-01 01:41:00,Groceries,Amazon Product 26,This is a synthetic description for Amazon Product 26.,Fire TV,1 pack,107,107,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00102,2024-01-01 01:42:00,Kitchen,Happy Belly Snack 90,This is a synthetic description for Happy Belly Snack 90.,Fire TV,3 pack,177,176,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00103,2024-01-01 01:43:00,Beauty,Kindle E-Reader 7,This is a synthetic description for Kindle E-Reader 7.,Echo,3 pack,1018,1001,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00104,2024-01-01 01:44:00,Beauty,Amazon Product 28,This is a synthetic description for Amazon Product 28.,Solimo,3 pack,1396,1311,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00105,2024-01-01 01:45:00,Electronics,Amazon Product 13,This is a synthetic description for Amazon Product 13.,Fire TV,1 pack,1703,1566,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00106,2024-01-01 01:46:00,Household,Fire Stick 86,This is a synthetic description for Fire Stick 86.,Solimo,3 pack,1899,1732,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00107,2024-01-01 01:47:00,Household,Amazon Product 6,This is a synthetic description for Amazon Product 6.,Fire TV,2 pack,1443,1385,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00108,2024-01-01 01:48:00,Electronics,Amazon Product 53,This is a synthetic description for Amazon Product 53.,Happy Belly,1 pack,1833,1764,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00109,2024-01-01 01:49:00,Kitchen,Kindle E-Reader 62,This is a synthetic description for Kindle E-Reader 62.,Happy Belly,2 pack,1730,1579,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00110,2024-01-01 01:50:00,Beauty,Kindle E-Reader 31,This is a synthetic description for Kindle E-Reader 31.,Kindle,4 pack,1019,925,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00111,2024-01-01 01:51:00,Books,Kindle E-Reader 4,This is a synthetic description for Kindle E-Reader 4.,Happy Belly,2 pack,980,887,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00112,2024-01-01 01:52:00,Electronics,Solimo Essential 79,This is a synthetic description for Solimo Essential 79.,Echo,4 pack,1149,1099,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00113,2024-01-01 01:53:00,Kitchen,Solimo Essential 68,This is a synthetic description for Solimo Essential 68.,Echo,4 pack,324,305,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
